# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
67            	smoothSolver	1.032470e-03	3.039780e-05	1	7.412380e-04	2.192680e-05	1	false	GAMG	9.769460e-03	7.474280e-04	2	true
68            	smoothSolver	1.021480e-03	3.014930e-05	1	7.391440e-04	2.188860e-05	1	false	GAMG	9.708120e-03	7.660420e-04	2	true
69            	smoothSolver	1.010790e-03	2.990720e-05	1	7.370480e-04	2.185290e-05	1	false	GAMG	9.654300e-03	7.824840e-04	2	true
70            	smoothSolver	1.001150e-03	2.967380e-05	1	7.348710e-04	2.181610e-05	1	false	GAMG	9.586610e-03	7.886060e-04	2	true
71            	smoothSolver	9.922420e-04	2.944690e-05	1	7.326890e-04	2.177590e-05	1	false	GAMG	9.517640e-03	7.868420e-04	2	true
72            	smoothSolver	9.839630e-04	2.923030e-05	1	7.307180e-04	2.173310e-05	1	false	GAMG	9.436270e-03	7.835430e-04	2	true
73            	smoothSolver	9.760170e-04	2.901880e-05	1	7.287770e-04	2.169010e-05	1	false	GAMG	9.358820e-03	7.834840e-04	2	true
74            	smoothSolver	9.683500e-04	2.881150e-05	1	7.267750e-04	2.164890e-05	1	false	GAMG	9.280870e-03	7.871770e-04	2	true
75            	smoothSolver	9.609060e-04	2.860820e-05	1	7.248560e-04	2.160840e-05	1	false	GAMG	9.209040e-03	7.930250e-04	2	true
76            	smoothSolver	9.536640e-04	2.840950e-05	1	7.229280e-04	2.156470e-05	1	false	GAMG	9.134050e-03	8.004780e-04	2	true
77            	smoothSolver	9.466040e-04	2.821380e-05	1	7.209540e-04	2.151820e-05	1	false	GAMG	9.056340e-03	8.042410e-04	2	true
78            	smoothSolver	9.396980e-04	2.802120e-05	1	7.190570e-04	2.147040e-05	1	false	GAMG	8.969760e-03	8.053030e-04	2	true
79            	smoothSolver	9.329620e-04	2.783310e-05	1	7.171400e-04	2.142730e-05	1	false	GAMG	8.878930e-03	8.037340e-04	2	true
80            	smoothSolver	9.264030e-04	2.764960e-05	1	7.153180e-04	2.138480e-05	1	false	GAMG	8.779530e-03	7.997890e-04	2	true
81            	smoothSolver	9.200060e-04	2.747090e-05	1	7.134910e-04	2.134130e-05	1	false	GAMG	8.674050e-03	7.940210e-04	2	true
82            	smoothSolver	9.137570e-04	2.729480e-05	1	7.116170e-04	2.129550e-05	1	false	GAMG	8.564120e-03	7.854300e-04	2	true
83            	smoothSolver	9.076000e-04	2.712190e-05	1	7.097450e-04	2.125020e-05	1	false	GAMG	8.447830e-03	7.788300e-04	2	true
84            	smoothSolver	9.015210e-04	2.695130e-05	1	7.080080e-04	2.120660e-05	1	false	GAMG	8.327020e-03	7.723420e-04	2	true
85            	smoothSolver	8.955120e-04	2.678310e-05	1	7.063990e-04	2.116280e-05	1	false	GAMG	8.200130e-03	7.645690e-04	2	true
86            	smoothSolver	8.895580e-04	2.661680e-05	1	7.047330e-04	2.111790e-05	1	false	GAMG	8.067960e-03	7.549040e-04	2	true
87            	smoothSolver	8.836940e-04	2.645300e-05	1	7.030200e-04	2.107160e-05	1	false	GAMG	7.931070e-03	7.428950e-04	2	true
88            	smoothSolver	8.779040e-04	2.629120e-05	1	7.013130e-04	2.102600e-05	1	false	GAMG	7.790820e-03	7.286360e-04	2	true
89            	smoothSolver	8.722080e-04	2.613200e-05	1	6.997050e-04	2.098120e-05	1	false	GAMG	7.648450e-03	7.133120e-04	2	true
90            	smoothSolver	8.666300e-04	2.597550e-05	1	6.981500e-04	2.093750e-05	1	false	GAMG	7.506270e-03	6.973470e-04	2	true
91            	smoothSolver	8.611350e-04	2.582210e-05	1	6.965720e-04	2.089370e-05	1	false	GAMG	7.365580e-03	6.814300e-04	2	true
92            	smoothSolver	8.557600e-04	2.567180e-05	1	6.949640e-04	2.084860e-05	1	false	GAMG	7.227290e-03	6.654950e-04	2	true
93            	smoothSolver	8.504550e-04	2.552450e-05	1	6.933080e-04	2.080530e-05	1	false	GAMG	7.092320e-03	6.497890e-04	2	true
94            	smoothSolver	8.452350e-04	2.537990e-05	1	6.917610e-04	2.076260e-05	1	false	GAMG	6.961590e-03	6.345670e-04	2	true
95            	smoothSolver	8.401250e-04	2.523850e-05	1	6.903380e-04	2.071960e-05	1	false	GAMG	6.833950e-03	6.198950e-04	2	true
96            	smoothSolver	8.351040e-04	2.509940e-05	1	6.888820e-04	2.067560e-05	1	false	GAMG	6.708600e-03	6.060260e-04	2	true
97            	smoothSolver	8.301500e-04	2.496280e-05	1	6.873790e-04	2.063180e-05	1	false	GAMG	6.586930e-03	5.931600e-04	2	true
98            	smoothSolver	8.252820e-04	2.482830e-05	1	6.858550e-04	2.058840e-05	1	false	GAMG	6.469150e-03	5.816860e-04	2	true
99            	smoothSolver	8.204810e-04	2.469580e-05	1	6.844570e-04	2.054550e-05	1	false	GAMG	6.358000e-03	5.713140e-04	2	true
100           	smoothSolver	8.157630e-04	2.456720e-05	1	6.830790e-04	2.050330e-05	1	false	GAMG	6.255480e-03	5.615360e-04	2	true
101           	smoothSolver	8.111190e-04	2.444640e-05	1	6.816220e-04	2.046160e-05	1	false	GAMG	6.156640e-03	5.524750e-04	2	true
102           	smoothSolver	8.065540e-04	2.433200e-05	1	6.801200e-04	2.041860e-05	1	false	GAMG	6.061280e-03	5.439130e-04	2	true
103           	smoothSolver	8.020410e-04	2.422020e-05	1	6.786360e-04	2.037600e-05	1	false	GAMG	5.968520e-03	5.357900e-04	2	true
104           	smoothSolver	7.976490e-04	2.411010e-05	1	6.772280e-04	2.033460e-05	1	false	GAMG	5.876650e-03	5.278310e-04	2	true
105           	smoothSolver	7.934090e-04	2.400270e-05	1	6.758550e-04	2.029510e-05	1	false	GAMG	5.785170e-03	5.200150e-04	2	true
106           	smoothSolver	7.893670e-04	2.389760e-05	1	6.744810e-04	2.025410e-05	1	false	GAMG	5.694580e-03	5.123970e-04	2	true
107           	smoothSolver	7.855580e-04	2.379540e-05	1	6.731140e-04	2.021150e-05	1	false	GAMG	5.604880e-03	5.051080e-04	2	true
108           	smoothSolver	7.819250e-04	2.369410e-05	1	6.717150e-04	2.016950e-05	1	false	GAMG	5.516390e-03	4.982160e-04	2	true
109           	smoothSolver	7.783550e-04	2.359380e-05	1	6.703320e-04	2.012910e-05	1	false	GAMG	5.429320e-03	4.915640e-04	2	true
110           	smoothSolver	7.748670e-04	2.349480e-05	1	6.689750e-04	2.009010e-05	1	false	GAMG	5.343420e-03	4.851320e-04	2	true
111           	smoothSolver	7.714150e-04	2.339720e-05	1	6.675880e-04	2.004990e-05	1	false	GAMG	5.258570e-03	4.789560e-04	2	true
112           	smoothSolver	7.680240e-04	2.330060e-05	1	6.661950e-04	2.000820e-05	1	false	GAMG	5.174970e-03	4.730710e-04	2	true
113           	smoothSolver	7.646740e-04	2.320510e-05	1	6.647980e-04	1.996650e-05	1	false	GAMG	5.092320e-03	4.674250e-04	2	true
114           	smoothSolver	7.613900e-04	2.311100e-05	1	6.634000e-04	1.992610e-05	1	false	GAMG	5.012180e-03	4.619950e-04	2	true
115           	smoothSolver	7.581280e-04	2.301820e-05	1	6.620050e-04	1.988760e-05	1	false	GAMG	4.932670e-03	4.567670e-04	2	true
116           	smoothSolver	7.549140e-04	2.292630e-05	1	6.606490e-04	1.984830e-05	1	false	GAMG	4.853620e-03	4.517080e-04	2	true
117           	smoothSolver	7.517230e-04	2.283520e-05	1	6.592890e-04	1.980760e-05	1	false	GAMG	4.775280e-03	4.467840e-04	2	true
118           	smoothSolver	7.485810e-04	2.274520e-05	1	6.579550e-04	1.976630e-05	1	false	GAMG	4.697990e-03	4.419360e-04	2	true
119           	smoothSolver	7.454690e-04	2.265680e-05	1	6.566080e-04	1.972620e-05	1	false	GAMG	4.621870e-03	4.371250e-04	2	true
120           	smoothSolver	7.424010e-04	2.257000e-05	1	6.552470e-04	1.968690e-05	1	false	GAMG	4.547380e-03	4.323570e-04	2	true
121           	smoothSolver	7.393680e-04	2.248420e-05	1	6.538800e-04	1.964810e-05	1	false	GAMG	4.474680e-03	4.276420e-04	2	true
122           	smoothSolver	7.363860e-04	2.239990e-05	1	6.525410e-04	1.960800e-05	1	false	GAMG	4.403320e-03	4.230090e-04	2	true
123           	smoothSolver	7.334480e-04	2.231650e-05	1	6.512350e-04	1.956720e-05	1	false	GAMG	4.333300e-03	4.185020e-04	2	true
124           	smoothSolver	7.305250e-04	2.223480e-05	1	6.499060e-04	1.952770e-05	1	false	GAMG	4.264710e-03	4.141530e-04	2	true
125           	smoothSolver	7.276370e-04	2.215400e-05	1	6.485580e-04	1.948860e-05	1	false	GAMG	4.197560e-03	4.099230e-04	2	true
126           	smoothSolver	7.247940e-04	2.207380e-05	1	6.471900e-04	1.944940e-05	1	false	GAMG	4.131340e-03	4.058320e-04	2	true
127           	smoothSolver	7.220170e-04	2.199440e-05	1	6.458630e-04	1.941010e-05	1	false	GAMG	4.066310e-03	4.018530e-04	2	true
128           	smoothSolver	7.192950e-04	2.191640e-05	1	6.445930e-04	1.937070e-05	1	false	GAMG	4.002570e-03	3.979410e-04	2	true
129           	smoothSolver	7.166080e-04	2.183950e-05	1	6.433000e-04	1.933230e-05	1	false	GAMG	3.940640e-03	2.558630e-04	3	true
130           	smoothSolver	7.140120e-04	2.176520e-05	1	6.419470e-04	1.929340e-05	1	false	GAMG	3.805440e-03	2.638750e-04	2	true
131           	smoothSolver	7.112860e-04	2.168850e-05	1	6.406310e-04	1.925580e-05	1	false	GAMG	3.760170e-03	3.449340e-04	2	true
132           	smoothSolver	7.086730e-04	2.161350e-05	1	6.393610e-04	1.921880e-05	1	false	GAMG	3.739770e-03	2.157910e-04	3	true
133           	smoothSolver	7.061830e-04	2.154040e-05	1	6.380640e-04	1.917890e-05	1	false	GAMG	3.614090e-03	2.796570e-04	2	true
134           	smoothSolver	7.035910e-04	2.146610e-05	1	6.367900e-04	1.914050e-05	1	false	GAMG	3.608860e-03	2.120560e-04	3	true
135           	smoothSolver	7.011490e-04	2.139460e-05	1	6.354870e-04	1.910270e-05	1	false	GAMG	3.503100e-03	2.739900e-04	2	true
136           	smoothSolver	6.986090e-04	2.132180e-05	1	6.341600e-04	1.906370e-05	1	false	GAMG	3.497520e-03	2.107410e-04	3	true
137           	smoothSolver	6.962450e-04	2.125170e-05	1	6.328570e-04	1.902530e-05	1	false	GAMG	3.400830e-03	2.683300e-04	2	true
138           	smoothSolver	6.937570e-04	2.118030e-05	1	6.315990e-04	1.898720e-05	1	false	GAMG	3.395130e-03	2.071120e-04	3	true
139           	smoothSolver	6.914180e-04	2.111150e-05	1	6.303510e-04	1.895020e-05	1	false	GAMG	3.299940e-03	2.645130e-04	2	true
140           	smoothSolver	6.889780e-04	2.104110e-05	1	6.290660e-04	1.891250e-05	1	false	GAMG	3.297130e-03	2.020530e-04	3	true
141           	smoothSolver	6.866770e-04	2.097340e-05	1	6.277610e-04	1.887500e-05	1	false	GAMG	3.202510e-03	2.608960e-04	2	true
142           	smoothSolver	6.843000e-04	2.090450e-05	1	6.264870e-04	1.883680e-05	1	false	GAMG	3.203510e-03	1.984720e-04	3	true
143           	smoothSolver	6.820550e-04	2.083790e-05	1	6.252480e-04	1.879940e-05	1	false	GAMG	3.111490e-03	2.568420e-04	2	true
144           	smoothSolver	6.797320e-04	2.077010e-05	1	6.240000e-04	1.876200e-05	1	false	GAMG	3.113780e-03	1.954910e-04	3	true
145           	smoothSolver	6.775260e-04	2.070460e-05	1	6.227530e-04	1.872460e-05	1	false	GAMG	3.024430e-03	2.529580e-04	2	true
146           	smoothSolver	6.752510e-04	2.063800e-05	1	6.214740e-04	1.868720e-05	1	false	GAMG	3.027810e-03	1.923870e-04	3	true
147           	smoothSolver	6.730960e-04	2.057360e-05	1	6.202290e-04	1.864990e-05	1	false	GAMG	2.940190e-03	2.494830e-04	2	true
148           	smoothSolver	6.708590e-04	2.050810e-05	1	6.189730e-04	1.861320e-05	1	false	GAMG	2.945930e-03	1.891080e-04	3	true
149           	smoothSolver	6.687230e-04	2.044460e-05	1	6.177350e-04	1.857720e-05	1	false	GAMG	2.859200e-03	2.462810e-04	2	true
